Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Currency conversion fee,Currency (Currency conversion fee),French transaction tax,Currency (French transaction tax)
Interest on cash,2023-09-23 21:09:21,,,,Interest on cash,f8c85b4e-0406-45ca-8fa1-81e6d04a34b2,,,,,,,0.04,EUR,,,,,,
Interest on cash,2023-09-24 21:09:25,,,,Interest on cash,f5c18e2f-669f-49ad-91e7-7ba300c08a89,,,,,,,0.04,EUR,,,,,,
Market buy,2023-09-25 08:17:42,FR0000121014,MC.PA,LVMH Moet Hennessy Louis Vuitton,,EOF3850432054,0.0688731000,723.8000000000,EUR,1.00000000,,,50.00,EUR,,,,,0.15,EUR
Market buy,2023-09-25 10:32:46,FR0000121014,MC.PA,LVMH Moet Hennessy Louis Vuitton,,EOF3850438589,0.0415765000,719.4000000000,EUR,1.00000000,,,30.00,EUR,,,,,0.09,EUR
Market buy,2023-09-25 13:30:04,US92826C8394,V,Visa,,EOF3900201356,0.2246367000,235.7900000000,USD,1.06103941,,,49.99,EUR,,,0.07,EUR,,
Market buy,2023-09-25 14:43:59,FR0000121014,MC.PA,LVMH Moet Hennessy Louis Vuitton,,EOF3901009989,0.0561220000,710.6000000000,EUR,1.00000000,,,40.00,EUR,,,,,0.12,EUR
Market buy,2023-09-25 14:44:20,US98978V1035,ZTS,Zoetis,,EOF3901010031,0.2404983000,175.7800000000,USD,1.05845746,,,40.00,EUR,,,0.06,EUR,,
Market buy,2023-09-25 14:44:39,US92826C8394,V,Visa,,EOF3901010054,0.3609687000,234.2300000000,USD,1.05845892,,,80.00,EUR,,,0.12,EUR,,
Market buy,2023-09-25 14:44:58,US92826C8394,V,Visa,,EOF3901010140,0.1804918000,234.2200000000,USD,1.05845742,,,40.00,EUR,,,0.06,EUR,,
Market buy,2023-09-25 14:45:09,US9256521090,VICI,VICI Properties,,EOF3901010178,1.4286850000,29.5900000000,USD,1.05845741,,,40.00,EUR,,,0.06,EUR,,
